user_id,location,age,gender
1,Magelang,29,Female
2,Temanggung,27,Male
3,Temanggung,35,Male
4,Temanggung,23,Female
5,Purworejo,44,Male
6,Kebumen,50,Male
7,Kebumen,22,Female
8,Kebumen,44,Male
9,Wonosobo,16,Male
10,Purworejo,26,Female
11,Kebumen,19,Female
12,Magelang,20,Male
13,Temanggung,40,Male
14,Wonosobo,26,Male
15,Kebumen,37,Female
16,Purworejo,59,Female
17,Temanggung,41,Male
18,Purworejo,15,Male
19,Purworejo,27,Female
20,Kebumen,49,Male
21,Magelang,39,Female
22,Wonosobo,38,Female
23,Wonosobo,51,Female
24,Purworejo,31,Female
25,Temanggung,36,Female
26,Purworejo,45,Female
27,Magelang,56,Male
28,Kebumen,56,Male
29,Magelang,28,Male
30,Wonosobo,33,Male
31,Magelang,30,Female
32,Magelang,21,Female
33,Temanggung,44,Male
34,Wonosobo,33,Female
35,Kebumen,29,Female
36,Wonosobo,36,Male
37,Temanggung,52,Male
38,Temanggung,35,Male
39,Kebumen,41,Female
40,Purworejo,36,Male
41,Magelang,33,Male
42,Magelang,24,Female
43,Kebumen,51,Male
44,Purworejo,46,Male
45,Kebumen,56,Male
46,Wonosobo,40,Female
47,Temanggung,51,Female
48,Temanggung,20,Male
49,Wonosobo,48,Male
50,Magelang,16,Male
51,Kebumen,42,Female
52,Magelang,21,Female
53,Purworejo,37,Female
54,Wonosobo,39,Female
55,Wonosobo,21,Female
56,Temanggung,50,Male
57,Kebumen,37,Male
58,Magelang,20,Female
59,Kebumen,36,Male
60,Purworejo,45,Male
61,Purworejo,28,Female
62,Magelang,60,Male
63,Magelang,36,Female
64,Temanggung,28,Male
65,Purworejo,22,Female
66,Temanggung,46,Female
67,Kebumen,47,Female
68,Kebumen,27,Male
69,Kebumen,39,Male
70,Magelang,52,Male
71,Wonosobo,53,Female
72,Wonosobo,31,Female
73,Purworejo,32,Male
74,Temanggung,24,Male
75,Magelang,55,Female
76,Kebumen,56,Female
77,Magelang,30,Male
78,Temanggung,32,Male
79,Kebumen,39,Male
80,Kebumen,34,Female
81,Purworejo,16,Male
82,Kebumen,20,Female
83,Wonosobo,17,Female
84,Wonosobo,38,Male
85,Magelang,55,Female
86,Temanggung,28,Female
87,Magelang,37,Male
88,Temanggung,46,Male
89,Temanggung,34,Male
90,Temanggung,57,Male
91,Wonosobo,44,Female
92,Kebumen,47,Male
93,Purworejo,52,Male
94,Kebumen,39,Female
95,Purworejo,15,Male
96,Wonosobo,45,Male
97,Temanggung,25,Female
98,Wonosobo,43,Female
99,Kebumen,35,Male
100,Magelang,25,Male
101,Temanggung,58,Male
102,Kebumen,15,Female
103,Temanggung,37,Female
104,Magelang,30,Female
105,Magelang,53,Female
106,Kebumen,37,Female
107,Kebumen,46,Male
108,Magelang,47,Male
109,Wonosobo,49,Female
110,Magelang,50,Female
111,Kebumen,32,Male
112,Magelang,51,Male
113,Wonosobo,26,Male
